Alpha,18,,yes,21,,,,,yes,23,
Beta,6,,no,7,,,,,no,0,
Stable,4,,unknown,0,,,,,closed,1,
TOTAL,28,,TOTAL,28,21,3,Needs Review,0,0,,
,,,,,,,Open Issues,0,0,,
Feature Name,Stage,SIG,Assignee,Needs Docs?,k8s.io Docs PR,additional PR,One Line Release Note Description,Needs Doc Review,Needs Tech Review,Merged,Notes
Kubernetes should be able to easily integrate external policy control,Alpha,SIG-API-machinery,smarterclayton,yes,#4092,,Add extensible external admission control,Complete,Complete,yes,Follow-up PRs will be used to improve this doc.
"CustomResourceDefinitions, née ThirdPartyResources",Beta,SIG-API-machinery,deads2k,yes,#4071,#3940,"ThirdPartyResource is deprecated. Please migrate to the successor, CustomResourceDefinition.",Complete,Complete,yes,
API Aggregation,Beta,SIG-API-machinery,cheftako,yes,#4173,,User-provided apiservers can be aggregated (served along with) the rest of the Kubernetes API,Complete,Complete,yes,
Hashing collision avoidance mechanism for Deployments,Alpha,SIG-Apps,kargakis,no,,,Hashing collision avoidance mechanism for Deployments,n/a,n/a,n/a,
StatefulSets should support a burst mode for faster scale up / down ...,Alpha,SIG-Apps,smarterclayton,yes,#4162,,"StatefulSet authors should be able to relax the ordering and parallelism policies for software that can safely support rapid, out-of-order changes.",Complete,Complete,closed,Folded into #4174
PodDisruptionBudget documentation Improvements,Beta,SIG-Apps,etune,yes,#4140,#3885,Adds a MaxUnavailable field to PodDisruptionBudget,Complete,Complete,yes,
StatefulSet Upgrades,Beta,SIG-Apps,kow3ns,yes,#4174,,"StatefulSets currently do not support upgrades, which makes it limiting for lot of Enterprise use cases. This feature will track supporting Upgrade for StatefulSets on the server side declaratively.",Complete,Complete,yes,
DaemonSet updates,Beta,SIG-Apps,janetkuo,yes,#4098,,DaemonSet history and rollback feature is now supported.,Complete,Complete,yes,
Kubelet Server TLS Certificate Rotation,Alpha,SIG-Auth,jcbsmpsn,no,,,Rotation of the server TLS certificate on the kubelet.,n/a,n/a,n/a,
Kubelet Client TLS Certificate Rotation,Alpha,SIG-Auth,jcbsmpsn,no,,,Rotation of the client TLS certificate on the kubelet.,n/a,n/a,n/a,
Encrypt secrets in etcd,Alpha,SIG-Auth,smarterclayton,yes,#4181,#4223,Encrypt secrets stored in etcd.,Complete,Complete,yes,
Limit node access to API,Beta,SIG-Auth,liggitt,yes,#4077,,"A new Node authorization mode and NodeRestriction admission plugin, when used in combination, limit nodes' access to specific APIs, so that they may only modify their own Node API object, only modify Pod objects bound to themselves, and only retrieve secrets and configmaps referenced by pods bound to themselves.",Complete,Complete,yes,
HPA Status Conditions,Alpha,SIG-Autoscaling,directxman12,yes,#4118,,Adds status conditions to the HorizontalPodAutoscaler,Complete,Complete,yes,
"Support out-of-tree and out-of-process cloud providers, a.k.a pluggable cloud providers.",Alpha,SIG-ClusterLifecycle,wlan0,yes,#47934,,"Support out-of-tree and out-of-process cloud providers, a.k.a pluggable cloud providers.",Complete,Complete,yes,This is an auto-generated doc in the kubernetes/kubernetes repo.
Policy-based Federated Resource Placement,Alpha,SIG-Federation,tsandall,yes,#4075,,The federation-apiserver now supports a SchedulingPolicy admission controller that enables policy-based control over placement of federated resources.,Complete,Complete,yes,
Generalized Cluster Selection and Weighting,Alpha,SIG-Federation,emaildanwilson,yes,#4214,,Alpha support for directing objects across the federated clusters.,Complete,Complete,yes,
Metrics Server (for resource metrics API) ,Alpha,SIG-Instrumentation,piosz,no,,,Introduces a lightweight monitoring component for serving the core resource metrics API used by the Horizontal Pod Autoscaler and other components.,n/a,n/a,n/a,
NetworkPolicy,Stable,SIG-Network,dnardo,yes,#4003,,NetworkPolicy promoted to GA,Complete,Complete,yes,
GCP Cloud Provider: Source IP preservation for Virtual IPs,Stable,SIG-Network,mrhohn,yes,#4093,,Source IP Preservation - change Cloud load-balancer strategy to health-checks and respond to health check only on nodes that host pods for the service.,Complete,Complete,yes,
Containerd CRI Integration,Alpha,SIG-Node,Random-Liu,no,,,"Alpha integration with containerd 1.0, which supports basic pod lifecycle and image management. (TODO: A link to cri-containerd alpha release note)",n/a,n/a,n/a,There will be a guidance document in cri-containerd repo.
CRI validation test suite,Alpha,SIG-Node,feiskyer,yes,#725,,Provide a serial of common validation test suites for Kubelet CRI.,Complete,Complete,yes,
Enhance the Container Runtime Interface,Alpha,SIG-Node,yujuhong ,no,,,New RPC calls are added to the container runtime interface to retrieve container metrics from the runtime.,n/a,n/a,n/a,
Bind method in scheduler extender,Alpha,SIG-Scheduling,ravigadde,no,,,Support for delegating pod binding to a scheduler extender,n/a,n/a,n/a,
Local Ephemeral Storage Support (Capacity Isolation Resource Management),Alpha,SIG-Storage,jingxu97,yes,#4145,,"This feature adds capacity isolation support for local storage at node, container, and volume levels.",Complete,Complete,yes,
Local Persistent Storage Support,Alpha,SIG-Storage,msau,yes,#4050,,Make locally attached (non-network attached) storage available as a persistent volume source.,Complete,Complete,yes,
Cloud Provider Storage Metrics,Stable,SIG-Storage,gnufied,yes,#4138,,Add support for cloudprovider metrics for storage API calls,Complete,Complete,yes,
StorageOS Volume Plugin,Stable,SIG-Storage,croomes,yes,#4095,,Volume plugin for StorageOS provides highly-available cluster-wide persistent volumes from local or attached node storage.,Complete,Complete,yes,
Audit Logging for k8s,Alpha,SIG-Auth,timstclair,yes,#4101,,"The Kubernetes apiserver can generate audit logs for all requests, and export to a pluggable backend.",Complete,Complete,yes,
