Feature name,Stage,SIG,One Line Release Note Description,Features link,Assignee,Link To Docs
Prioritized scheduling of critical cluster addon pods,Alpha,SIG-Scheduling,"Ensure critical cluster infrastructure pods (Heapster, DNS, etc.) can schedule by evicting regular pods when necessary to make the critical pods schedule.",https://github.com/kubernetes/features/issues/62,davidopp / piosz,https://github.com/kubernetes/kubernetes.github.io/pull/1170
Container Image Policy,Alpha,SIG-Auth,Allows an admission controller to determine whether a pod may be schdeuled based on a policy,https://github.com/kubernetes/features/issues/59,philips,https://github.com/kubernetes/kubernetes.github.io/pull/1188
Inter-pod affinity/anti-affinity,Alpha,SIG-Scheduling,Allows pods to require or prohibit (or prefer or prefer not) co-scheduling on the same node (or zone or other topology domain) as another set of pods.,https://github.com/kubernetes/features/issues/51,davidopp / wojtek-t,https://github.com/kubernetes/kubernetes.github.io/pull/1148
Kubelet TLS Bootstrap,Alpha,SIG-Node,Simplifies bootstrapping of TLS secured communication between the apiserver and kublet,https://github.com/kubernetes/features/issues/43,philips,https://github.com/kubernetes/kubernetes.github.io/pull/1246
Access Review APIs,Alpha,SIG-Auth,"Exposes authorization engine to external inquiries for delgation, inspection, and debugging",https://github.com/kubernetes/features/issues/37,deads2k,https://github.com/kubernetes/kubernetes.github.io/pull/1236
Add sysctl support,Alpha,SIG-Node,"Pods now have alpha support for setting whitelisted, safe sysctls. Unsafe sysctls can be whitelisted on the kubelet.",https://github.com/kubernetes/features/issues/34,sttts,https://github.com/kubernetes/kubernetes.github.io/pull/1126
Source IP preservation for Virtual IPs,Alpha,SIG-Network,Service LB now has alpha support for preserving client source IP,https://github.com/kubernetes/features/issues/27,girishkalele,https://github.com/kubernetes/kubernetes.github.io/pull/1062
ScheduledJobs,Alpha,SIG-Apps,"Introducing 'ScheduledJobs', which allow running time based Jobs, n$amely once at a specified time or repeatedly at specified point in time.",https://github.com/kubernetes/features/issues/19,soltysh ,http://kubernetes.io/docs/user-guide/scheduled-jobs/
Dramatically Simplify Kubernetes Cluster Creation,Alpha,SIG-ClusterLifecycle,Now in Alpha! New 'kubeadm' tool makes install much easier.,https://github.com/kubernetes/features/issues/11,jbeda / lukemarsden,https://github.com/kubernetes/kubernetes.github.io/pull/1265
Node Performance Benchmark,Alpha,SIG-Node,Publish node performance dashboard at http://node-perf-dash.k8s.io/#/builds,https://github.com/kubernetes/features/issues/83,dchen1107,
Audit,Alpha,SIG-API-Machinery,Generate audit logs for every request user performs against secured API server endpoint.,https://github.com/kubernetes/features/issues/22,soltysh / sttts,http://kubernetes.io/docs/admin/audit/
Federated Ingress for GCP,Alpha,SIG-Federation,"Federated Ingress allows creation of a single global virtual IP (""VIP""), via a single API call, to intelligently load balance L7 traffic across some or all federated clusters around the world. GKE and GCE are supported in this release.",https://github.com/kubernetes/features/issues/82,madhusudancs,http://kubernetes.io/docs/user-guide/federation/federated-ingress
Federated Namespaces,Alpha,SIG-Federation,Federated Namespaces make it easy to create and maintain (via a single API call) a consistent set of NameSpaces across a large number of clusters. ,https://github.com/kubernetes/features/issues/69,madhusudancs,http://kubernetes.io/docs/user-guide/federation/namespaces
Simplified turn up,Alpha,SIG-Federation,"Introducing a new simplified mechanism to turn up federation. We will continue to support the existing mechanism in this release, but we recommend to switch to the new one.",N/A,madhusudancs, [Admin Guide](http://kubernetes.io/docs/admin/federation/)
Provide Ingress for Multi-Zone Clusters,Alpha,SIG-Federation,"Ingress now has alpha support for single master, multi-zone clusters",https://github.com/kubernetes/features/issues/52,bprashanth,https://github.com/kubernetes/kubernetes.github.io/blob/release-1.4/docs/user-guide/ingress.md#failing-across-availability-zones
Enable non-go clients: Move to Swagger 2.0,Beta,SIG-API-Machinery,`kube-apiserver` now publishes a swagger 2.0 spec in addition to a swagger 1.2 spec.,https://github.com/kubernetes/features/issues/53,lavalamp,
kubelet evicts resources when observing disk pressureke,Beta,SIG-Node,kubelet is able to evict pods when it observes disk pressure,https://github.com/kubernetes/features/issues/39,derekwaynecarr,https://github.com/kubernetes/kubernetes.github.io/pull/1196
Configurable Dynamic Provisioning aka StorageClass,Beta,SIG-Storage,Persistent Volume provisioning now supports multiple provisioners using StorageClass configuration.,https://github.com/kubernetes/features/issues/36,childsb,https://github.com/kubernetes/kubernetes.github.io/pull/1064
Add AppArmor support,Beta,SIG-Node,AppArmor profiles can be specified & applied to pod containers,https://github.com/kubernetes/features/issues/24,timstclair,http://kubernetes.io/docs/admin/apparmor/
Pod Security Policy,Beta,SIG-Node,Cluster policy to control access and defaults of security related features,https://github.com/kubernetes/features/issues/5,pweil-,https://github.com/kubernetes/kubernetes.github.io/pull/1206
Google ContainerVM Image,Beta,SIG-Node,"Kubernetes clusters on GCE will be upgrading to Google ContainerVM Image (GCI) soon. Use it today by setting KUBE_NODE_OS_DISTRIBUTION env to ""gci""",,vishh,https://cloud.google.com/compute/docs/containers/vm-image/
Federated Replica Set,Beta,SIG-Federation,"Federated Replica Sets automatically and intelligently distribute a specified replica count across multiple federated clusters, either equally or according to optionally specified relative cluster weights.  Hybrid cloud scenarios, where clusters are hosted in different cloud providers or on-premise are fully supported.",https://github.com/kubernetes/features/issues/46,madhusudancs,http://kubernetes.io/docs/user-guide/federation/replicasets
Federated Secrets,Beta,SIG-Federation,Federated Secrets make it easy to create and maintain (via a single API call) a consistent set of Secrets (e.g. security tokens) across a large number of clusters. ,https://github.com/kubernetes/features/issues/68,madhusudancs,http://kubernetes.io/docs/user-guide/federation/secrets
Federation Events,Beta,SIG-Federation,Federation API server gained support for events and many federation controllers now report important events.,https://github.com/kubernetes/features/issues/70,madhusudancs,http://kubernetes.io/docs/user-guide/federation/events
Automate Docker Validation Process ,Stable,SIG-Node,Automate docker validation processes,https://github.com/kubernetes/features/issues/57,dchen1107,"Note from @dchen1107: For validation test framework, I don't think we need any doc except release notes mentioning which docker version being qualified."
System Correctness: Single Source for Default Values,Stable,SIG-UI,"`kubectl` no longer applies defaults before sending objects to the server in create and update requests, allowing the server to apply the defaults.",https://github.com/kubernetes/features/issues/55,lavalamp,
